objectid,parcelcount,combinedvaccount,combinedvacpercentage,date_update,Shape__Area,Shape__Length
18282,22,0,0,2025/11/30 00:00:00+00,3447.7734375,308.186556082437
18283,2,0,0,2025/11/30 00:00:00+00,8567.1640625,375.72054830684
18284,15,0,0,2025/11/30 00:00:00+00,2901.828125,246.559383218411
18285,27,0,0,2025/11/30 00:00:00+00,4541.296875,377.472834965265
18286,1,0,0,2025/11/30 00:00:00+00,7863.7890625,414.244229582374
18287,3,0,0,2025/11/30 00:00:00+00,28068.5625,680.408294602822
18288,19,1,5.26315789,2025/11/30 00:00:00+00,4372.04296875,314.656712025524
18289,20,5,25,2025/11/30 00:00:00+00,2941.64453125,308.975824304306
18290,22,0,0,2025/11/30 00:00:00+00,3569.89453125,331.177161227124
18291,6,6,100,2025/11/30 00:00:00+00,1467.23046875,154.666312495868
18292,3,0,0,2025/11/30 00:00:00+00,407.22265625,213.512367507316
18293,13,2,15.38461538,2025/11/30 00:00:00+00,2009.21875,207.646952012146
18294,6,1,16.66666667,2025/11/30 00:00:00+00,3700.83203125,243.247585801654
18295,17,6,35.29411765,2025/11/30 00:00:00+00,3535.453125,317.217809416396
18296,18,0,0,2025/11/30 00:00:00+00,1979.30859375,241.407077774646
18297,13,3,23.07692308,2025/11/30 00:00:00+00,3595.06640625,280.629675417522
18298,32,0,0,2025/11/30 00:00:00+00,13117.734375,695.573452088214
18299,34,2,5.88235294,2025/11/30 00:00:00+00,8139.83203125,529.402335622205
18300,10,0,0,2025/11/30 00:00:00+00,1219.0234375,159.638910832414
18301,14,2,14.28571429,2025/11/30 00:00:00+00,2546.0625,227.986939178734
18302,7,3,42.85714286,2025/11/30 00:00:00+00,1151.21484375,192.143875740846
18303,6,1,16.66666667,2025/11/30 00:00:00+00,918.859375,124.432894546519
18304,7,0,0,2025/11/30 00:00:00+00,1239.45703125,146.621488979058
18305,34,11,32.35294118,2025/11/30 00:00:00+00,3633.0390625,418.63193251277
18306,16,0,0,2025/11/30 00:00:00+00,5037.95703125,376.119445006761
18307,17,1,5.88235294,2025/11/30 00:00:00+00,2507.60546875,273.027393372566
18308,15,0,0,2025/11/30 00:00:00+00,2911.19140625,245.572788514648
18309,16,0,0,2025/11/30 00:00:00+00,5118.24609375,424.905075493459
18310,9,1,11.11111111,2025/11/30 00:00:00+00,1751.625,181.889247703971
18311,8,2,25,2025/11/30 00:00:00+00,6462.390625,326.48555100567
18312,20,0,0,2025/11/30 00:00:00+00,2530.62109375,333.931362645836
18313,6,0,0,2025/11/30 00:00:00+00,48471.80859375,1433.40347056819
18314,3,0,0,2025/11/30 00:00:00+00,422.25390625,82.2157460466818
18315,4,0,0,2025/11/30 00:00:00+00,946.80078125,124.650219910365
18316,89,0,0,2025/11/30 00:00:00+00,135433.2265625,3919.35186436275
18317,19,0,0,2025/11/30 00:00:00+00,3572.5859375,283.035752522756
18318,21,0,0,2025/11/30 00:00:00+00,9158.19140625,482.870572404709
18319,6,2,33.33333333,2025/11/30 00:00:00+00,868.9140625,123.301377239837
18320,8,0,0,2025/11/30 00:00:00+00,1744.5390625,170.759059522548
18321,19,2,10.52631579,2025/11/30 00:00:00+00,11567.54296875,464.653937595175
18322,2,0,0,2025/11/30 00:00:00+00,18592.0390625,824.178730241604
18323,20,0,0,2025/11/30 00:00:00+00,5015.82421875,331.90314820247
18324,17,3,17.64705882,2025/11/30 00:00:00+00,7833.71484375,442.084404721657
18325,41,1,2.43902439,2025/11/30 00:00:00+00,8751.44140625,594.102231675434
18326,11,3,27.27272727,2025/11/30 00:00:00+00,9335.96875,557.405511062424
18327,16,0,0,2025/11/30 00:00:00+00,28526.796875,742.387371752726
18328,7,2,28.57142857,2025/11/30 00:00:00+00,1167.37890625,139.348551898397
18329,12,1,8.33333333,2025/11/30 00:00:00+00,9643.42578125,488.483317218008
